Park,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Channel Islands,2002,36653,39572,53729,68305,73469,56850,60572,69022,54380,37715,32613,31055
Channel Islands,2001,32316,27664,32570,42779,57457,52617,60541,66809,45530,43007,29532,29606
Channel Islands,2000,25593,22835,36054,40524,53695,51410,58609,59677,55317,25547,25772,27538
Channel Islands,1999,35545,33800,45707,51502,67729,49562,82870,68762,51389,53603,37893,28695
Channel Islands,1998,28012,18921,42505,47879,66763,58043,64375,75567,58488,49207,43226,21284
Channel Islands,1997,50357,34209,42654,38662,44930,43013,55698,61455,39266,30128,30279,18106
Channel Islands,1996,30975,33763,44735,29569,49880,58675,58793,59818,44349,29946,32510,17702
Channel Islands,1995,17214,31442,35350,38046,37915,39637,72446,98958,53242,47251,43371,11010
Channel Islands,1994,16233,9889,10897,14224,10717,12325,23520,25357,17069,15732,10057,9206
Channel Islands,1993,14405,9069,8631,13048,16138,13866,23904,25913,17685,20382,13349,8477
Channel Islands,1992,14090,9911,11527,13683,16830,14340,18813,11384,18785,16457,13644,9717
Channel Islands,1991,12309,6946,9252,9250,15562,9646,15962,19651,16067,14059,11377,9182
Channel Islands,1990,11640,7101,8183,11908,9579,10708,16876,22035,6852,15878,13385,9938
Channel Islands,1989,13244,9172,10289,10542,12249,11313,19689,17787,16051,12604,10953,8769
Channel Islands,1988,14484,10178,12457,11288,13900,10947,19317,21977,19041,13984,11321,9698
Channel Islands,1987,13326,9744,8095,9472,19363,12986,17344,24419,19533,15094,13844,11387
Channel Islands,1986,15061,7302,9925,11514,12594,14210,21062,24173,16955,17818,13439,8860
Channel Islands,1985,12865,9540,10967,10239,11897,12164,19922,24101,20473,10875,10838,10251
