Park,Year,Month,NoVisitors
Redwood,2008,Dec,16447
Redwood,2007,Jan,14472
Redwood,2007,Feb,10852
Redwood,2007,Mar,13897
Redwood,2007,Apr,26783
Redwood,2007,May,30488
Redwood,2007,Jun,54956
Redwood,2007,Jul,63493
Redwood,2007,Aug,63541
Redwood,2007,Sep,48081
Redwood,2007,Oct,24470
Redwood,2007,Nov,18068
Redwood,2007,Dec,16070
Redwood,2006,Jan,12674
Redwood,2006,Feb,13185
Redwood,2006,Mar,15747
Redwood,2006,Apr,25911
Redwood,2006,May,22586
Redwood,2006,Jun,45470
Redwood,2006,Jul,70327
Redwood,2006,Aug,82714
Redwood,2006,Sep,43661
Redwood,2006,Oct,25483
Redwood,2006,Nov,14121
Redwood,2006,Dec,11901
Redwood,2005,Jan,18157
Redwood,2005,Feb,18640
Redwood,2005,Mar,24069
Redwood,2005,Apr,26641
Redwood,2005,May,39955
Redwood,2005,Jun,45277
Redwood,2005,Jul,65385
Redwood,2005,Aug,63488
Redwood,2005,Sep,38236
Redwood,2005,Oct,26773
Redwood,2005,Nov,14044
Redwood,2005,Dec,13479
Redwood,2004,Jan,18765
Redwood,2004,Feb,19114
Redwood,2004,Mar,17561
Redwood,2004,Apr,32886
Redwood,2004,May,33653
Redwood,2004,Jun,44352
Redwood,2004,Jul,61569
Redwood,2004,Aug,63415
Redwood,2004,Sep,35248
Redwood,2004,Oct,30985
Redwood,2004,Nov,17646
Redwood,2004,Dec,16835
Redwood,2003,Jan,19675
Redwood,2003,Feb,15240
Redwood,2003,Mar,16109
Redwood,2003,Apr,23527
Redwood,2003,May,30642
Redwood,2003,Jun,42965
Redwood,2003,Jul,71114
Redwood,2003,Aug,64070
Redwood,2003,Sep,52803
Redwood,2003,Oct,36356
Redwood,2003,Nov,16300
Redwood,2003,Dec,19325
Redwood,2002,Jan,13418
Redwood,2002,Feb,15639
Redwood,2002,Mar,20507
Redwood,2002,Apr,24459
Redwood,2002,May,36020
Redwood,2002,Jun,54453
Redwood,2002,Jul,67449
Redwood,2002,Aug,55199
Redwood,2002,Sep,47732
Redwood,2002,Oct,33779
Redwood,2002,Nov,18943
Redwood,2002,Dec,17191
Redwood,2001,Jan,17519
Redwood,2001,Feb,14290
Redwood,2001,Mar,25037
Redwood,2001,Apr,28134
Redwood,2001,May,35421
Redwood,2001,Jun,46593
Redwood,2001,Jul,71978
Redwood,2001,Aug,55621
Redwood,2001,Sep,36042
Redwood,2001,Oct,28929
Redwood,2001,Nov,15367
Redwood,2001,Dec,13421
Redwood,2000,Jan,17835
Redwood,2000,Feb,17575
Redwood,2000,Mar,19239
Redwood,2000,Apr,24315
Redwood,2000,May,40500
Redwood,2000,Jun,39788
Redwood,2000,Jul,58541
Redwood,2000,Aug,56010
Redwood,2000,Sep,43390
Redwood,2000,Oct,29581
Redwood,2000,Nov,17673
Redwood,2000,Dec,18806
Redwood,1999,Jan,12485
Redwood,1999,Feb,14909
Redwood,1999,Mar,16494
Redwood,1999,Apr,26118
Redwood,1999,May,33624
Redwood,1999,Jun,43123
Redwood,1999,Jul,55862
Redwood,1999,Aug,59725
Redwood,1999,Sep,42031
Redwood,1999,Oct,28147
Redwood,1999,Nov,17324
Redwood,1999,Dec,19884
Redwood,1998,Jan,11253
Redwood,1998,Feb,12047
Redwood,1998,Mar,16711
Redwood,1998,Apr,25608
Redwood,1998,May,24282
Redwood,1998,Jun,52855
Redwood,1998,Jul,70077
Redwood,1998,Aug,73163
Redwood,1998,Sep,42787
Redwood,1998,Oct,25754
Redwood,1998,Nov,16919
Redwood,1998,Dec,11732
Redwood,1997,Jan,12203
Redwood,1997,Feb,13001
Redwood,1997,Mar,18299
Redwood,1997,Apr,25102
Redwood,1997,May,28946
Redwood,1997,Jun,41807
Redwood,1997,Jul,76879
Redwood,1997,Aug,64807
Redwood,1997,Sep,45836
Redwood,1997,Oct,26465
Redwood,1997,Nov,16137
Redwood,1997,Dec,13006
Redwood,1996,Jan,10924
Redwood,1996,Feb,13140
Redwood,1996,Mar,21290
Redwood,1996,Apr,27396
Redwood,1996,May,36107
Redwood,1996,Jun,58363
Redwood,1996,Jul,69776
Redwood,1996,Aug,76032
Redwood,1996,Sep,49650
Redwood,1996,Oct,36729
Redwood,1996,Nov,15237
Redwood,1996,Dec,12294
Redwood,1995,Jan,13216
Redwood,1995,Feb,16262
Redwood,1995,Mar,21486
Redwood,1995,Apr,32603
Redwood,1995,May,54728
Redwood,1995,Jun,69710
Redwood,1995,Jul,92704
Redwood,1995,Aug,132599
Redwood,1995,Sep,59038
Redwood,1995,Oct,38450
Redwood,1995,Nov,15519
Redwood,1995,Dec,6149
Redwood,1994,Jan,13092
Redwood,1994,Feb,11472
Redwood,1994,Mar,25367
Redwood,1994,Apr,24370
Redwood,1994,May,38339
Redwood,1994,Jun,54722
Redwood,1994,Jul,79816
Redwood,1994,Aug,78205
Redwood,1994,Sep,61623
Redwood,1994,Oct,46576
Redwood,1994,Nov,25306
Redwood,1994,Dec,16145
Redwood,1993,Jan,13314
Redwood,1993,Feb,14547
Redwood,1993,Mar,16126
Redwood,1993,Apr,25881
Redwood,1993,May,34384
Redwood,1993,Jun,51792
Redwood,1993,Jul,73388
Redwood,1993,Aug,73614
Redwood,1993,Sep,58197
Redwood,1993,Oct,33034
Redwood,1993,Nov,18866
Redwood,1993,Dec,7884
Redwood,1992,Jan,14664
Redwood,1992,Feb,15439
Redwood,1992,Mar,21947
Redwood,1992,Apr,31689
Redwood,1992,May,36478
Redwood,1992,Jun,49382
Redwood,1992,Jul,63634
Redwood,1992,Aug,61426
Redwood,1992,Sep,39614
Redwood,1992,Oct,25215
Redwood,1992,Nov,15203
Redwood,1992,Dec,13090
Redwood,1991,Jan,18782
Redwood,1991,Feb,12102
Redwood,1991,Mar,16710
Redwood,1991,Apr,22418
Redwood,1991,May,29871
Redwood,1991,Jun,34520
Redwood,1991,Jul,60921
Redwood,1991,Aug,71255
Redwood,1991,Sep,43719
Redwood,1991,Oct,28862
Redwood,1991,Nov,13338
Redwood,1991,Dec,13782
Redwood,1990,Jan,10538
Redwood,1990,Feb,10531
Redwood,1990,Mar,18929
Redwood,1990,Apr,24846
Redwood,1990,May,27130
Redwood,1990,Jun,42462
Redwood,1990,Jul,65704
Redwood,1990,Aug,60429
Redwood,1990,Sep,42700
Redwood,1990,Oct,21439
Redwood,1990,Nov,13714
Redwood,1990,Dec,10036
Redwood,1989,Jan,22476
Redwood,1989,Feb,21193
Redwood,1989,Mar,27392
Redwood,1989,Apr,34238
Redwood,1989,May,56041
Redwood,1989,Jun,91340
Redwood,1989,Jul,124402
Redwood,1989,Aug,110454
Redwood,1989,Sep,75835
Redwood,1989,Oct,40281
Redwood,1989,Nov,26493
Redwood,1989,Dec,23970
Redwood,1988,Jan,19049
Redwood,1988,Feb,25912
Redwood,1988,Mar,32572
Redwood,1988,Apr,40070
Redwood,1988,May,56461
Redwood,1988,Jun,83479
Redwood,1988,Jul,130356
Redwood,1988,Aug,117022
Redwood,1988,Sep,81795
Redwood,1988,Oct,45673
Redwood,1988,Nov,21375
Redwood,1988,Dec,23371
Redwood,1987,Jan,19901
Redwood,1987,Feb,22619
Redwood,1987,Mar,29500
Redwood,1987,Apr,33984
Redwood,1987,May,56127
Redwood,1987,Jun,75396
Redwood,1987,Jul,112990
Redwood,1987,Aug,112178
Redwood,1987,Sep,69296
Redwood,1987,Oct,32894
Redwood,1987,Nov,22205
Redwood,1987,Dec,23807
Redwood,1986,Jan,24862
Redwood,1986,Feb,16154
Redwood,1986,Mar,21793
Redwood,1986,Apr,27015
Redwood,1986,May,50763
Redwood,1986,Jun,62553
Redwood,1986,Jul,109995
Redwood,1986,Aug,108897
Redwood,1986,Sep,59996
Redwood,1986,Oct,42618
Redwood,1986,Nov,23503
Redwood,1986,Dec,19700
Redwood,1985,Jan,15530
Redwood,1985,Feb,15767
Redwood,1985,Mar,18695
Redwood,1985,Apr,25662
Redwood,1985,May,46280
Redwood,1985,Jun,62831
Redwood,1985,Jul,95325
Redwood,1985,Aug,96878
Redwood,1985,Sep,50367
Redwood,1985,Oct,32962
Redwood,1985,Nov,22497
Redwood,1985,Dec,22997
Redwood,1984,Jan,15931
Redwood,1984,Feb,18542
Redwood,1984,Mar,16192
Redwood,1984,Apr,31595
Redwood,1984,May,42469
Redwood,1984,Jun,41703
Redwood,1984,Jul,92009
Redwood,1984,Aug,87559
Redwood,1984,Sep,60430
Redwood,1984,Oct,28804
Redwood,1984,Nov,19973
Redwood,1984,Dec,11948
Redwood,1983,Jan,15614
Redwood,1983,Feb,21535
Redwood,1983,Mar,23239
Redwood,1983,Apr,22221
Redwood,1983,May,40274
Redwood,1983,Jun,54382
Redwood,1983,Jul,93768
Redwood,1983,Aug,84910
Redwood,1983,Sep,60044
Redwood,1983,Oct,25808
Redwood,1983,Nov,17114
Redwood,1983,Dec,14802
Redwood,1982,Jan,15077
Redwood,1982,Feb,14905
Redwood,1982,Mar,15718
Redwood,1982,Apr,21430
Redwood,1982,May,41762
Redwood,1982,Jun,57898
Redwood,1982,Jul,90816
Redwood,1982,Aug,83035
Redwood,1982,Sep,54460
Redwood,1982,Oct,39089
Redwood,1982,Nov,20230
Redwood,1982,Dec,12706
Redwood,1981,Jan,17493
Redwood,1981,Feb,17545
Redwood,1981,Mar,25734
Redwood,1981,Apr,36115
Redwood,1981,May,46132
Redwood,1981,Jun,70230
Redwood,1981,Jul,94825
Redwood,1981,Aug,107092
Redwood,1981,Sep,61548
Redwood,1981,Oct,37740
Redwood,1981,Nov,18829
Redwood,1981,Dec,16178
Redwood,1980,Jan,19593
Redwood,1980,Feb,19397
Redwood,1980,Mar,25132
Redwood,1980,Apr,26851
Redwood,1980,May,33505
Redwood,1980,Jun,52414
Redwood,1980,Jul,78046
Redwood,1980,Aug,74621
Redwood,1980,Sep,56715
Redwood,1980,Oct,35561
Redwood,1980,Nov,20664
Redwood,1980,Dec,29211
Redwood,1979,Jan,15362
Redwood,1979,Feb,17152
Redwood,1979,Mar,27470
Redwood,1979,Apr,24690
Redwood,1979,May,26229
Redwood,1979,Jun,64665
Redwood,1979,Jul,58222
Redwood,1979,Aug,55654
Redwood,1979,Sep,51708
Redwood,1979,Oct,31110
Redwood,1979,Nov,22668
Redwood,1979,Dec,18987
Sequoia,2025,Jan,51845
Sequoia,2025,Feb,40294
Sequoia,2025,Mar,74414
Sequoia,2025,Apr,104655
Sequoia,2025,May,138749
Sequoia,2025,Jun,161775
Sequoia,2025,Jul,200392
Sequoia,2025,Aug,195347
Sequoia,2025,Sep,146996
Sequoia,2025,Oct,122794
Sequoia,2025,Nov,79477
Sequoia,2025,Dec,61599
Sequoia,2024,Jan,48087
Sequoia,2024,Feb,38250
Sequoia,2024,Mar,67764
Sequoia,2024,Apr,88326
Sequoia,2024,May,137566
Sequoia,2024,Jun,123835
Sequoia,2024,Jul,212834
Sequoia,2024,Aug,199189
Sequoia,2024,Sep,148582
Sequoia,2024,Oct,117625
Sequoia,2024,Nov,71510
Sequoia,2024,Dec,56005
Sequoia,2023,Jan,26006
Sequoia,2023,Feb,31190
Sequoia,2023,Mar,5214
Sequoia,2023,Apr,29029
Sequoia,2023,May,73576
Sequoia,2023,Jun,87230
Sequoia,2023,Jul,186932
Sequoia,2023,Aug,171867
Sequoia,2023,Sep,142544
Sequoia,2023,Oct,106350
Sequoia,2023,Nov,68745
Sequoia,2023,Dec,51884
Sequoia,2022,Jan,32564
Sequoia,2022,Feb,39182
Sequoia,2022,Mar,58365
Sequoia,2022,Apr,86412
Sequoia,2022,May,121934
Sequoia,2022,Jun,135869
Sequoia,2022,Jul,188020
Sequoia,2022,Aug,170284
Sequoia,2022,Sep,127041
Sequoia,2022,Oct,96663
Sequoia,2022,Nov,55800
Sequoia,2022,Dec,41064
Sequoia,2021,Jan,65177
Sequoia,2021,Feb,54162
Sequoia,2021,Mar,79431
Sequoia,2021,Apr,103101
Sequoia,2021,May,134360
Sequoia,2021,Jun,162201
Sequoia,2021,Jul,182423
Sequoia,2021,Aug,155567
Sequoia,2021,Sep,50597
Sequoia,2021,Oct,22545
Sequoia,2021,Nov,25406
Sequoia,2021,Dec,24578
Sequoia,2020,Jan,46368
Sequoia,2020,Feb,48821
Sequoia,2020,Mar,16625
Sequoia,2020,Apr,0
Sequoia,2020,May,0
Sequoia,2020,Jun,52901
Sequoia,2020,Jul,194892
Sequoia,2020,Aug,187702
Sequoia,2020,Sep,88313
Sequoia,2020,Oct,65370
Sequoia,2020,Nov,66044
Sequoia,2020,Dec,29050
Sequoia,2019,Jan,36024
Sequoia,2019,Feb,28737
Sequoia,2019,Mar,63343
Sequoia,2019,Apr,93054
Sequoia,2019,May,119816
Sequoia,2019,Jun,153882
Sequoia,2019,Jul,193633
Sequoia,2019,Aug,190139
Sequoia,2019,Sep,144639
Sequoia,2019,Oct,118187
Sequoia,2019,Nov,59502
Sequoia,2019,Dec,45097
Sequoia,2018,Jan,39678
Sequoia,2018,Feb,41244
Sequoia,2018,Mar,65934
Sequoia,2018,Apr,84169
Sequoia,2018,May,131687
Sequoia,2018,Jun,156039
Sequoia,2018,Jul,193884
Sequoia,2018,Aug,184413
Sequoia,2018,Sep,135576
Sequoia,2018,Oct,83442
Sequoia,2018,Nov,54590
Sequoia,2018,Dec,58938
Sequoia,2017,Jan,28877
Sequoia,2017,Feb,27306
Sequoia,2017,Mar,58609
Sequoia,2017,Apr,94141
Sequoia,2017,May,131584
Sequoia,2017,Jun,169618
Sequoia,2017,Jul,232403
Sequoia,2017,Aug,200337
Sequoia,2017,Sep,147224
Sequoia,2017,Oct,89252
Sequoia,2017,Nov,58403
Sequoia,2017,Dec,53502
Sequoia,2016,Jan,41007
Sequoia,2016,Feb,33815
Sequoia,2016,Mar,59292
Sequoia,2016,Apr,73518
Sequoia,2016,May,127056
Sequoia,2016,Jun,160327
Sequoia,2016,Jul,221476
Sequoia,2016,Aug,191657
Sequoia,2016,Sep,150580
Sequoia,2016,Oct,92679
Sequoia,2016,Nov,57513
Sequoia,2016,Dec,45768
Sequoia,2015,Jan,35320
Sequoia,2015,Feb,29613
Sequoia,2015,Mar,53100
Sequoia,2015,Apr,68602
Sequoia,2015,May,113812
Sequoia,2015,Jun,139746
Sequoia,2015,Jul,197117
Sequoia,2015,Aug,173943
Sequoia,2015,Sep,124126
Sequoia,2015,Oct,70954
Sequoia,2015,Nov,48251
Sequoia,2015,Dec,42880
Sequoia,2014,Jan,25825
Sequoia,2014,Feb,26877
Sequoia,2014,Mar,48135
Sequoia,2014,Apr,70926
Sequoia,2014,May,101054
Sequoia,2014,Jun,135952
Sequoia,2014,Jul,179033
Sequoia,2014,Aug,180619
Sequoia,2014,Sep,112109
Sequoia,2014,Oct,70260
Sequoia,2014,Nov,45885
Sequoia,2014,Dec,42462
Sequoia,2013,Jan,24429
Sequoia,2013,Feb,21262
Sequoia,2013,Mar,43242
Sequoia,2013,Apr,50937
Sequoia,2013,May,98904
Sequoia,2013,Jun,147445
Sequoia,2013,Jul,161286
Sequoia,2013,Aug,162352
Sequoia,2013,Sep,105351
Sequoia,2013,Oct,28702
Sequoia,2013,Nov,37328
Sequoia,2013,Dec,28036
Sequoia,2012,Jan,30112
Sequoia,2012,Feb,28557
Sequoia,2012,Mar,45541
Sequoia,2012,Apr,59186
Sequoia,2012,May,108045
Sequoia,2012,Jun,123538
Sequoia,2012,Jul,178374
Sequoia,2012,Aug,255984
Sequoia,2012,Sep,147491
Sequoia,2012,Oct,69775
Sequoia,2012,Nov,32886
Sequoia,2012,Dec,27095
Sequoia,2011,Jan,29303
Sequoia,2011,Feb,21913
Sequoia,2011,Mar,41621
Sequoia,2011,Apr,66501
Sequoia,2011,May,111466
Sequoia,2011,Jun,120708
Sequoia,2011,Jul,184262
Sequoia,2011,Aug,183238
Sequoia,2011,Sep,112027
Sequoia,2011,Oct,67767
Sequoia,2011,Nov,37787
Sequoia,2011,Dec,29990
Sequoia,2010,Jan,30283
Sequoia,2010,Feb,21838
Sequoia,2010,Mar,37947
Sequoia,2010,Apr,53237
Sequoia,2010,May,100412
Sequoia,2010,Jun,124164
Sequoia,2010,Jul,198203
Sequoia,2010,Aug,173300
Sequoia,2010,Sep,125658
Sequoia,2010,Oct,70483
Sequoia,2010,Nov,39095
Sequoia,2010,Dec,28359
Sequoia,2009,Jan,27347
Sequoia,2009,Feb,25630
Sequoia,2009,Mar,50551
Sequoia,2009,Apr,57885
Sequoia,2009,May,106045
Sequoia,2009,Jun,116902
Sequoia,2009,Jul,172196
Sequoia,2009,Aug,166989
Sequoia,2009,Sep,104422
Sequoia,2009,Oct,69113
Sequoia,2009,Nov,37215
Sequoia,2009,Dec,30875
Sequoia,2008,Jan,27643
Sequoia,2008,Feb,28943
Sequoia,2008,Mar,47827
Sequoia,2008,Apr,49940
Sequoia,2008,May,100694
Sequoia,2008,Jun,111533
Sequoia,2008,Jul,166615
Sequoia,2008,Aug,176568
Sequoia,2008,Sep,90212
Sequoia,2008,Oct,61435
Sequoia,2008,Nov,38753
Sequoia,2008,Dec,29848
Sequoia,2007,Jan,29878
Sequoia,2007,Feb,28433
Sequoia,2007,Mar,44561
Sequoia,2007,Apr,60206
Sequoia,2007,May,103903
Sequoia,2007,Jun,121408
Sequoia,2007,Jul,167721
Sequoia,2007,Aug,167421
Sequoia,2007,Sep,106067
Sequoia,2007,Oct,69940
Sequoia,2007,Nov,47773
Sequoia,2007,Dec,32226
Sequoia,2006,Jan,32103
Sequoia,2006,Feb,30055
Sequoia,2006,Mar,42372
Sequoia,2006,Apr,57708
Sequoia,2006,May,104572
Sequoia,2006,Jun,115062
Sequoia,2006,Jul,162584
Sequoia,2006,Aug,158372
Sequoia,2006,Sep,107311
Sequoia,2006,Oct,73627
Sequoia,2006,Nov,37129
Sequoia,2006,Dec,33612
Sequoia,2005,Jan,32102
Sequoia,2005,Feb,28188
Sequoia,2005,Mar,43344
Sequoia,2005,Apr,55739
Sequoia,2005,May,111303
Sequoia,2005,Jun,123919
Sequoia,2005,Jul,170938
Sequoia,2005,Aug,176490
Sequoia,2005,Sep,108674
Sequoia,2005,Oct,71964
Sequoia,2005,Nov,49402
Sequoia,2005,Dec,32780
Sequoia,2004,Jan,32957
Sequoia,2004,Feb,31324
Sequoia,2004,Mar,46987
Sequoia,2004,Apr,62543
Sequoia,2004,May,103991
Sequoia,2004,Jun,120331
Sequoia,2004,Jul,196589
Sequoia,2004,Aug,169686
Sequoia,2004,Sep,97919
Sequoia,2004,Oct,68789
Sequoia,2004,Nov,39547
Sequoia,2004,Dec,29514
Sequoia,2003,Jan,34021
Sequoia,2003,Feb,25170
Sequoia,2003,Mar,36300
Sequoia,2003,Apr,56662
Sequoia,2003,May,117788
Sequoia,2003,Jun,132100
Sequoia,2003,Jul,169873
Sequoia,2003,Aug,167864
Sequoia,2003,Sep,94607
Sequoia,2003,Oct,73412
Sequoia,2003,Nov,36007
Sequoia,2003,Dec,35493
Sequoia,2002,Jan,20699
Sequoia,2002,Feb,22307
Sequoia,2002,Mar,34830
Sequoia,2002,Apr,48040
Sequoia,2002,May,105262
Sequoia,2002,Jun,118442
Sequoia,2002,Jul,153278
Sequoia,2002,Aug,169075
Sequoia,2002,Sep,99319
Sequoia,2002,Oct,69649
Sequoia,2002,Nov,42811
Sequoia,2002,Dec,36580
Sequoia,2001,Jan,24024
Sequoia,2001,Feb,21150
Sequoia,2001,Mar,29921
Sequoia,2001,Apr,49621
Sequoia,2001,May,107500
Sequoia,2001,Jun,116582
Sequoia,2001,Jul,156281
Sequoia,2001,Aug,160246
Sequoia,2001,Sep,95145
Sequoia,2001,Oct,56346
Sequoia,2001,Nov,32734
Sequoia,2001,Dec,20777
Sequoia,2000,Jan,20615
Sequoia,2000,Feb,22096
Sequoia,2000,Mar,30659
Sequoia,2000,Apr,48876
Sequoia,2000,May,72244
Sequoia,2000,Jun,122143
Sequoia,2000,Jul,170186
Sequoia,2000,Aug,145987
Sequoia,2000,Sep,90312
Sequoia,2000,Oct,59548
Sequoia,2000,Nov,35298
Sequoia,2000,Dec,20983
Sequoia,1999,Jan,21792
Sequoia,1999,Feb,22085
Sequoia,1999,Mar,38088
Sequoia,1999,Apr,55179
Sequoia,1999,May,72830
Sequoia,1999,Jun,110573
Sequoia,1999,Jul,163724
Sequoia,1999,Aug,159339
Sequoia,1999,Sep,100920
Sequoia,1999,Oct,70423
Sequoia,1999,Nov,38026
Sequoia,1999,Dec,20250
Sequoia,1998,Jan,25980
Sequoia,1998,Feb,22909
Sequoia,1998,Mar,24621
Sequoia,1998,Apr,34844
Sequoia,1998,May,101486
Sequoia,1998,Jun,114351
Sequoia,1998,Jul,164805
Sequoia,1998,Aug,163724
Sequoia,1998,Sep,98354
Sequoia,1998,Oct,60946
Sequoia,1998,Nov,29297
Sequoia,1998,Dec,19986
Sequoia,1997,Jan,14392
Sequoia,1997,Feb,16713
Sequoia,1997,Mar,42544
Sequoia,1997,Apr,57862
Sequoia,1997,May,153230
Sequoia,1997,Jun,129033
Sequoia,1997,Jul,175464
Sequoia,1997,Aug,180201
Sequoia,1997,Sep,116735
Sequoia,1997,Oct,69268
Sequoia,1997,Nov,32048
Sequoia,1997,Dec,21441
Sequoia,1996,Jan,23783
Sequoia,1996,Feb,22668
Sequoia,1996,Mar,36223
Sequoia,1996,Apr,43000
Sequoia,1996,May,90135
Sequoia,1996,Jun,112951
Sequoia,1996,Jul,156392
Sequoia,1996,Aug,160107
Sequoia,1996,Sep,78200
Sequoia,1996,Oct,57750
Sequoia,1996,Nov,31823
Sequoia,1996,Dec,25028
Sequoia,1995,Jan,19960
Sequoia,1995,Feb,20012
Sequoia,1995,Mar,23161
Sequoia,1995,Apr,52389
Sequoia,1995,May,81563
Sequoia,1995,Jun,120054
Sequoia,1995,Jul,206392
Sequoia,1995,Aug,163897
Sequoia,1995,Sep,59699
Sequoia,1995,Oct,52890
Sequoia,1995,Nov,30254
Sequoia,1995,Dec,14311
Sequoia,1994,Jan,32358
Sequoia,1994,Feb,20157
Sequoia,1994,Mar,26541
Sequoia,1994,Apr,33369
Sequoia,1994,May,158701
Sequoia,1994,Jun,129570
Sequoia,1994,Jul,195432
Sequoia,1994,Aug,176626
Sequoia,1994,Sep,105941
Sequoia,1994,Oct,83535
Sequoia,1994,Nov,51145
Sequoia,1994,Dec,20758
Sequoia,1993,Jan,21454
Sequoia,1993,Feb,21625
Sequoia,1993,Mar,27259
Sequoia,1993,Apr,66686
Sequoia,1993,May,129675
Sequoia,1993,Jun,135275
Sequoia,1993,Jul,195877
Sequoia,1993,Aug,191021
Sequoia,1993,Sep,143704
Sequoia,1993,Oct,76426
Sequoia,1993,Nov,35318
Sequoia,1993,Dec,22232
Sequoia,1992,Jan,26510
Sequoia,1992,Feb,26391
Sequoia,1992,Mar,37107
Sequoia,1992,Apr,66108
Sequoia,1992,May,159885
Sequoia,1992,Jun,135323
Sequoia,1992,Jul,152436
Sequoia,1992,Aug,135615
Sequoia,1992,Sep,97943
Sequoia,1992,Oct,69048
Sequoia,1992,Nov,33538
Sequoia,1992,Dec,21191
Sequoia,1991,Jan,26553
Sequoia,1991,Feb,32228
Sequoia,1991,Mar,31342
Sequoia,1991,Apr,55763
Sequoia,1991,May,122256
Sequoia,1991,Jun,148495
Sequoia,1991,Jul,194041
Sequoia,1991,Aug,218094
Sequoia,1991,Sep,132071
Sequoia,1991,Oct,82800
Sequoia,1991,Nov,47939
Sequoia,1991,Dec,28696
Sequoia,1990,Jan,25321
Sequoia,1990,Feb,27815
Sequoia,1990,Mar,41787
Sequoia,1990,Apr,83797
Sequoia,1990,May,130625
Sequoia,1990,Jun,143425
Sequoia,1990,Jul,171477
Sequoia,1990,Aug,181087
Sequoia,1990,Sep,120922
Sequoia,1990,Oct,67525
Sequoia,1990,Nov,44399
Sequoia,1990,Dec,25358
Sequoia,1989,Jan,28075
Sequoia,1989,Feb,26134
Sequoia,1989,Mar,42336
Sequoia,1989,Apr,67884
Sequoia,1989,May,117890
Sequoia,1989,Jun,138160
Sequoia,1989,Jul,177925
Sequoia,1989,Aug,181660
Sequoia,1989,Sep,124199
Sequoia,1989,Oct,73557
Sequoia,1989,Nov,45946
Sequoia,1989,Dec,32254
Sequoia,1988,Jan,28557
Sequoia,1988,Feb,33204
Sequoia,1988,Mar,46932
Sequoia,1988,Apr,61744
Sequoia,1988,May,113130
Sequoia,1988,Jun,135794
Sequoia,1988,Jul,181437
Sequoia,1988,Aug,180107
Sequoia,1988,Sep,121807
Sequoia,1988,Oct,66396
Sequoia,1988,Nov,37818
Sequoia,1988,Dec,24203
Sequoia,1987,Jan,34064
Sequoia,1987,Feb,32340
Sequoia,1987,Mar,32928
Sequoia,1987,Apr,74103
Sequoia,1987,May,132960
Sequoia,1987,Jun,151253
Sequoia,1987,Jul,204346
Sequoia,1987,Aug,211905
Sequoia,1987,Sep,125518
Sequoia,1987,Oct,67273
Sequoia,1987,Nov,43759
Sequoia,1987,Dec,28940
Sequoia,1986,Jan,31886
Sequoia,1986,Feb,21898
Sequoia,1986,Mar,37530
Sequoia,1986,Apr,58270
Sequoia,1986,May,110011
Sequoia,1986,Jun,144532
Sequoia,1986,Jul,188908
Sequoia,1986,Aug,198976
Sequoia,1986,Sep,112033
Sequoia,1986,Oct,68188
Sequoia,1986,Nov,46739
Sequoia,1986,Dec,37556
Sequoia,1985,Jan,28235
Sequoia,1985,Feb,25850
Sequoia,1985,Mar,32486
Sequoia,1985,Apr,51586
Sequoia,1985,May,93728
Sequoia,1985,Jun,127956
Sequoia,1985,Jul,167641
Sequoia,1985,Aug,179823
Sequoia,1985,Sep,116068
Sequoia,1985,Oct,56798
Sequoia,1985,Nov,29111
Sequoia,1985,Dec,30186
Sequoia,1984,Jan,28507
Sequoia,1984,Feb,29305
Sequoia,1984,Mar,35855
Sequoia,1984,Apr,52027
Sequoia,1984,May,97382
Sequoia,1984,Jun,138471
Sequoia,1984,Jul,176356
Sequoia,1984,Aug,176192
Sequoia,1984,Sep,130606
Sequoia,1984,Oct,55235
Sequoia,1984,Nov,31687
Sequoia,1984,Dec,28009
Sequoia,1983,Jan,23111
Sequoia,1983,Feb,20739
Sequoia,1983,Mar,20381
Sequoia,1983,Apr,29103
Sequoia,1983,May,36738
Sequoia,1983,Jun,117644
Sequoia,1983,Jul,189114
Sequoia,1983,Aug,174687
Sequoia,1983,Sep,122090
Sequoia,1983,Oct,65245
Sequoia,1983,Nov,31283
Sequoia,1983,Dec,24098
Sequoia,1982,Jan,44619
Sequoia,1982,Feb,27170
Sequoia,1982,Mar,32604
Sequoia,1982,Apr,48034
Sequoia,1982,May,95434
Sequoia,1982,Jun,128891
Sequoia,1982,Jul,186728
Sequoia,1982,Aug,219550
Sequoia,1982,Sep,128234
Sequoia,1982,Oct,62353
Sequoia,1982,Nov,27422
Sequoia,1982,Dec,19461
Sequoia,1981,Jan,27645
Sequoia,1981,Feb,25681
Sequoia,1981,Mar,21775
Sequoia,1981,Apr,38978
Sequoia,1981,May,90972
Sequoia,1981,Jun,139285
Sequoia,1981,Jul,187727
Sequoia,1981,Aug,223365
Sequoia,1981,Sep,158730
Sequoia,1981,Oct,74986
Sequoia,1981,Nov,54104
Sequoia,1981,Dec,39754
Sequoia,1980,Jan,14085
Sequoia,1980,Feb,18200
Sequoia,1980,Mar,22749
Sequoia,1980,Apr,30354
Sequoia,1980,May,67881
Sequoia,1980,Jun,115603
Sequoia,1980,Jul,173770
Sequoia,1980,Aug,185655
Sequoia,1980,Sep,109331
Sequoia,1980,Oct,59511
Sequoia,1980,Nov,38554
Sequoia,1980,Dec,26704
Sequoia,1979,Jan,25338
Sequoia,1979,Feb,22334
Sequoia,1979,Mar,24271
Sequoia,1979,Apr,47410
